"Alkuaika UTC","Lopetusaika UTC","Alkuaika UTC+02:00","Lopetusaika UTC+02:00","Sähkönkulutus Suomessa"
"2023-01-08 22:00:00","2023-01-08 23:00:00","2023-01-09 00:00:00","2023-01-09 01:00:00","-10746.0"
"2023-01-08 23:00:00","2023-01-09 00:00:00","2023-01-09 01:00:00","2023-01-09 02:00:00","10468.0"
"2023-01-09 00:00:00","2023-01-09 01:00:00","2023-01-09 02:00:00","2023-01-09 03:00:00","10256.0"
"2023-01-09 01:00:00","2023-01-09 02:00:00","2023-01-09 03:00:00","2023-01-09 04:00:00","10219.0"
"2023-01-09 02:00:00","2023-01-09 03:00:00","2023-01-09 04:00:00","2023-01-09 05:00:00","10328.0"
"2023-01-09 03:00:00","2023-01-09 04:00:00","2023-01-09 05:00:00","2023-01-09 06:00:00","10628.0"
"2023-01-09 04:00:00","2023-01-09 05:00:00","2023-01-09 06:00:00","2023-01-09 07:00:00","11369.0"
"2023-01-09 05:00:00","2023-01-09 06:00:00","2023-01-09 07:00:00","2023-01-09 08:00:00","11787.0"
"2023-01-09 06:00:00","2023-01-09 07:00:00","2023-01-09 08:00:00","2023-01-09 09:00:00","12016.0"
"2023-01-09 07:00:00","2023-01-09 08:00:00","2023-01-09 09:00:00","2023-01-09 10:00:00","11915.0"
"2023-01-09 08:00:00","2023-01-09 09:00:00","2023-01-09 10:00:00","2023-01-09 11:00:00","11908.0"
"2023-01-09 09:00:00","2023-01-09 10:00:00","2023-01-09 11:00:00","2023-01-09 12:00:00","11905.0"
"2023-01-09 10:00:00","2023-01-09 11:00:00","2023-01-09 12:00:00","2023-01-09 13:00:00","11897.0"
"2023-01-09 11:00:00","2023-01-09 12:00:00","2023-01-09 13:00:00","2023-01-09 14:00:00","11842.0"
"2023-01-09 12:00:00","2023-01-09 13:00:00","2023-01-09 14:00:00","2023-01-09 15:00:00","11786.0"
"2023-01-09 13:00:00","2023-01-09 14:00:00","2023-01-09 15:00:00","2023-01-09 16:00:00","11819.0"
"2023-01-09 14:00:00","2023-01-09 15:00:00","2023-01-09 16:00:00","2023-01-09 17:00:00","11859.0"
"2023-01-09 15:00:00","2023-01-09 16:00:00","2023-01-09 17:00:00","2023-01-09 18:00:00","11821.0"
"2023-01-09 16:00:00","2023-01-09 17:00:00","2023-01-09 18:00:00","2023-01-09 19:00:00","11740.0"
"2023-01-09 17:00:00","2023-01-09 18:00:00","2023-01-09 19:00:00","2023-01-09 20:00:00","11680.0"
"2023-01-09 18:00:00","2023-01-09 19:00:00","2023-01-09 20:00:00","2023-01-09 21:00:00","11465.0"
"2023-01-09 19:00:00","2023-01-09 20:00:00","2023-01-09 21:00:00","2023-01-09 22:00:00","11116.0"
"2023-01-09 20:00:00","2023-01-09 21:00:00","2023-01-09 22:00:00","2023-01-09 23:00:00","11238.0"
"2023-01-09 21:00:00","2023-01-09 22:00:00","2023-01-09 23:00:00","2023-01-10 00:00:00","10979.0"
"2023-01-09 22:00:00","2023-01-09 23:00:00","2023-01-10 00:00:00","2023-01-10 01:00:00","10626.0"
"2023-01-09 23:00:00","2023-01-10 00:00:00","2023-01-10 01:00:00","2023-01-10 02:00:00","10351.0"
"2023-01-10 00:00:00","2023-01-10 01:00:00","2023-01-10 02:00:00","2023-01-10 03:00:00","10144.0"
"2023-01-10 01:00:00","2023-01-10 02:00:00","2023-01-10 03:00:00","2023-01-10 04:00:00","10088.0"
"2023-01-10 02:00:00","2023-01-10 03:00:00","2023-01-10 04:00:00","2023-01-10 05:00:00","10121.0"
"2023-01-10 03:00:00","2023-01-10 04:00:00","2023-01-10 05:00:00","2023-01-10 06:00:00","10431.0"
"2023-01-10 04:00:00","2023-01-10 05:00:00","2023-01-10 06:00:00","2023-01-10 07:00:00","11145.0"
"2023-01-10 05:00:00","2023-01-10 06:00:00","2023-01-10 07:00:00","2023-01-10 08:00:00","11562.0"
"2023-01-10 06:00:00","2023-01-10 07:00:00","2023-01-10 08:00:00","2023-01-10 09:00:00","11873.0"
"2023-01-10 07:00:00","2023-01-10 08:00:00","2023-01-10 09:00:00","2023-01-10 10:00:00","11850.0"
"2023-01-10 08:00:00","2023-01-10 09:00:00","2023-01-10 10:00:00","2023-01-10 11:00:00","11763.0"
"2023-01-10 09:00:00","2023-01-10 10:00:00","2023-01-10 11:00:00","2023-01-10 12:00:00","11771.0"
"2023-01-10 10:00:00","2023-01-10 11:00:00","2023-01-10 12:00:00","2023-01-10 13:00:00","11751.0"
"2023-01-10 11:00:00","2023-01-10 12:00:00","2023-01-10 13:00:00","2023-01-10 14:00:00","11461.0"
"2023-01-10 12:00:00","2023-01-10 13:00:00","2023-01-10 14:00:00","2023-01-10 15:00:00","11287.0"
"2023-01-10 13:00:00","2023-01-10 14:00:00","2023-01-10 15:00:00","2023-01-10 16:00:00","11282.0"
"2023-01-10 14:00:00","2023-01-10 15:00:00","2023-01-10 16:00:00","2023-01-10 17:00:00","11406.0"
"2023-01-10 15:00:00","2023-01-10 16:00:00","2023-01-10 17:00:00","2023-01-10 18:00:00","11364.0"
"2023-01-10 16:00:00","2023-01-10 17:00:00","2023-01-10 18:00:00","2023-01-10 19:00:00","11250.0"
"2023-01-10 17:00:00","2023-01-10 18:00:00","2023-01-10 19:00:00","2023-01-10 20:00:00","11152.0"
"2023-01-10 18:00:00","2023-01-10 19:00:00","2023-01-10 20:00:00","2023-01-10 21:00:00","10939.0"
"2023-01-10 19:00:00","2023-01-10 20:00:00","2023-01-10 21:00:00","2023-01-10 22:00:00","10484.0"
"2023-01-10 20:00:00","2023-01-10 21:00:00","2023-01-10 22:00:00","2023-01-10 23:00:00","10515.0"
