Year,m,d,Time,Time zone,Direct solar radiation (W/m2)
2022,3,8,00:00,UTC,-0.1
2022,3,8,00:01,UTC,-0.1
2022,3,8,00:02,UTC,0.1
2022,3,8,00:03,UTC,-0.1
2022,3,8,00:04,UTC,0
2022,3,8,00:05,UTC,0.2
2022,3,8,00:06,UTC,0.1
2022,3,8,00:07,UTC,0.1
2022,3,8,00:08,UTC,0.3
2022,3,8,00:09,UTC,0.5
2022,3,8,00:10,UTC,0.4
2022,3,8,00:11,UTC,0.4
2022,3,8,00:12,UTC,0.2
2022,3,8,00:13,UTC,0.1
2022,3,8,00:14,UTC,0.2
2022,3,8,00:15,UTC,0.3
2022,3,8,00:16,UTC,0.6
2022,3,8,00:17,UTC,0.5
2022,3,8,00:18,UTC,0.4
2022,3,8,00:19,UTC,0.4
2022,3,8,00:20,UTC,0.5
2022,3,8,00:21,UTC,0.5
2022,3,8,00:22,UTC,0.3
2022,3,8,00:23,UTC,0.5
2022,3,8,00:24,UTC,0.7
2022,3,8,00:25,UTC,0.4
2022,3,8,00:26,UTC,0.5
2022,3,8,00:27,UTC,0.4
2022,3,8,00:28,UTC,0.5
2022,3,8,00:29,UTC,0.3
2022,3,8,00:30,UTC,0.2
2022,3,8,00:31,UTC,0.4
2022,3,8,00:32,UTC,0.5
2022,3,8,00:33,UTC,0.6
2022,3,8,00:34,UTC,0.7
2022,3,8,00:35,UTC,0.5
2022,3,8,00:36,UTC,0.6
2022,3,8,00:37,UTC,0.5
2022,3,8,00:38,UTC,0.6
2022,3,8,00:39,UTC,0.2
2022,3,8,00:40,UTC,0.1
2022,3,8,00:41,UTC,-0.1
2022,3,8,00:42,UTC,-0.1
2022,3,8,00:43,UTC,0
2022,3,8,00:44,UTC,-0.1
2022,3,8,00:45,UTC,-0.2
2022,3,8,00:46,UTC,-0.2
2022,3,8,00:47,UTC,-0.4
2022,3,8,00:48,UTC,-0.4
2022,3,8,00:49,UTC,-0.4
2022,3,8,00:50,UTC,-0.4
2022,3,8,00:51,UTC,-0.4
2022,3,8,00:52,UTC,-0.4
2022,3,8,00:53,UTC,-0.3
2022,3,8,00:54,UTC,0.1
2022,3,8,00:55,UTC,0.1
2022,3,8,00:56,UTC,0
2022,3,8,00:57,UTC,0.2
2022,3,8,00:58,UTC,0.3
2022,3,8,00:59,UTC,0.2
2022,3,8,01:00,UTC,0.2
2022,3,8,01:01,UTC,0.2
2022,3,8,01:02,UTC,0.2
2022,3,8,01:03,UTC,0.3
2022,3,8,01:04,UTC,0.2
2022,3,8,01:05,UTC,0.3
2022,3,8,01:06,UTC,0.3
2022,3,8,01:07,UTC,0.2
2022,3,8,01:08,UTC,0.1
2022,3,8,01:09,UTC,0
2022,3,8,01:10,UTC,0.2
2022,3,8,01:11,UTC,0.1
2022,3,8,01:12,UTC,0.3
2022,3,8,01:13,UTC,0.1
2022,3,8,01:14,UTC,0.3
2022,3,8,01:15,UTC,0.2
2022,3,8,01:16,UTC,0.1
2022,3,8,01:17,UTC,0.1
2022,3,8,01:18,UTC,0.1
2022,3,8,01:19,UTC,0.1
2022,3,8,01:20,UTC,0.2
2022,3,8,01:21,UTC,0.3
2022,3,8,01:22,UTC,0.2
2022,3,8,01:23,UTC,0.2
2022,3,8,01:24,UTC,0.2
2022,3,8,01:25,UTC,0
2022,3,8,01:26,UTC,0.3
2022,3,8,01:27,UTC,0.4
2022,3,8,01:28,UTC,0.4
2022,3,8,01:29,UTC,0.3
2022,3,8,01:30,UTC,-0.1
2022,3,8,01:31,UTC,-0.2
2022,3,8,01:32,UTC,0
2022,3,8,01:33,UTC,0
2022,3,8,01:34,UTC,0.1
2022,3,8,01:35,UTC,-0.1
2022,3,8,01:36,UTC,0
2022,3,8,01:37,UTC,-0.2
2022,3,8,01:38,UTC,0
2022,3,8,01:39,UTC,-0.3
2022,3,8,01:40,UTC,-0.2
2022,3,8,01:41,UTC,-0.3
2022,3,8,01:42,UTC,-0.1
2022,3,8,01:43,UTC,-0.1
2022,3,8,01:44,UTC,-0.2
2022,3,8,01:45,UTC,-0.4
2022,3,8,01:46,UTC,-0.2
2022,3,8,01:47,UTC,-0.3
2022,3,8,01:48,UTC,-0.4
2022,3,8,01:49,UTC,-0.7
2022,3,8,01:50,UTC,-0.6
2022,3,8,01:51,UTC,-0.5
2022,3,8,01:52,UTC,-0.7
2022,3,8,01:53,UTC,-0.4
2022,3,8,01:54,UTC,-0.4
2022,3,8,01:55,UTC,-0.3
2022,3,8,01:56,UTC,-0.4
2022,3,8,01:57,UTC,-0.4
2022,3,8,01:58,UTC,-0.3
2022,3,8,01:59,UTC,-0.5
2022,3,8,02:00,UTC,-0.5
2022,3,8,02:01,UTC,-0.6
2022,3,8,02:02,UTC,-0.4
2022,3,8,02:03,UTC,-0.4
2022,3,8,02:04,UTC,-0.2
2022,3,8,02:05,UTC,-0.1
2022,3,8,02:06,UTC,-0.5
2022,3,8,02:07,UTC,-0.3
2022,3,8,02:08,UTC,0
2022,3,8,02:09,UTC,0.3
2022,3,8,02:10,UTC,0.4
2022,3,8,02:11,UTC,0.6
2022,3,8,02:12,UTC,0.7
2022,3,8,02:13,UTC,0.3
2022,3,8,02:14,UTC,0.3
2022,3,8,02:15,UTC,0.3
2022,3,8,02:16,UTC,0.1
2022,3,8,02:17,UTC,0.2
2022,3,8,02:18,UTC,0.2
2022,3,8,02:19,UTC,0.2
2022,3,8,02:20,UTC,0.2
2022,3,8,02:21,UTC,-0.1
2022,3,8,02:22,UTC,-0.1
2022,3,8,02:23,UTC,0
2022,3,8,02:24,UTC,0.1
2022,3,8,02:25,UTC,0.1
2022,3,8,02:26,UTC,0.4
2022,3,8,02:27,UTC,0.2
2022,3,8,02:28,UTC,0.3
2022,3,8,02:29,UTC,0.3
2022,3,8,02:30,UTC,0.3
2022,3,8,02:31,UTC,0.2
2022,3,8,02:32,UTC,0.1
2022,3,8,02:33,UTC,0.2
2022,3,8,02:34,UTC,0.2
2022,3,8,02:35,UTC,0.4
2022,3,8,02:36,UTC,0.5
2022,3,8,02:37,UTC,0.5
2022,3,8,02:38,UTC,0.4
2022,3,8,02:39,UTC,0.4
2022,3,8,02:40,UTC,0.6
2022,3,8,02:41,UTC,0.7
2022,3,8,02:42,UTC,0.5
2022,3,8,02:43,UTC,0.5
2022,3,8,02:44,UTC,0.5
2022,3,8,02:45,UTC,0.5
2022,3,8,02:46,UTC,0.5
2022,3,8,02:47,UTC,0.4
2022,3,8,02:48,UTC,0.3
2022,3,8,02:49,UTC,0.7
2022,3,8,02:50,UTC,0.4
2022,3,8,02:51,UTC,0.3
2022,3,8,02:52,UTC,0.3
2022,3,8,02:53,UTC,0.2
2022,3,8,02:54,UTC,0.1
2022,3,8,02:55,UTC,-0.3
2022,3,8,02:56,UTC,-0.1
2022,3,8,02:57,UTC,-0.2
2022,3,8,02:58,UTC,0
2022,3,8,02:59,UTC,-0.1
2022,3,8,03:00,UTC,-0.1
2022,3,8,03:01,UTC,-0.3
2022,3,8,03:02,UTC,-0.1
2022,3,8,03:03,UTC,0.2
2022,3,8,03:04,UTC,0.1
2022,3,8,03:05,UTC,0.1
2022,3,8,03:06,UTC,0.1
2022,3,8,03:07,UTC,-0.1
2022,3,8,03:08,UTC,0
2022,3,8,03:09,UTC,0
2022,3,8,03:10,UTC,0.1
2022,3,8,03:11,UTC,-0.2
2022,3,8,03:12,UTC,-0.1
2022,3,8,03:13,UTC,-0.1
2022,3,8,03:14,UTC,-0.2
